Name;Class;Vertices;Faces;;Min X;Min Y;Min Z;Max X;Max Y;Max Z; ;Range X;Range Y;Range Z
m1357;m1357;9664;32216;;0,025;0,025;0,025;0,975;0,167978;0,424339;;0,95;0,142978;0,399339
m1356;m1356;1946;3301;;0,025;0,025;0,025;0,975;0,614445;0,688768;;0,95;0,589445;0,6637681
m1355;m1355;7730;13354;;0,025;0,025;0,025;0,859252;0,975;0,328011;;0,834252;0,95;0,303011
m1354;m1354;5724;11368;;0,025;0,025;0,025;0,975;0,279811;0,504878;;0,95;0,254811;0,479878
m1353;m1353;2124;4147;;0,025;0,025;0,025;0,489988;0,975;0,336106;;0,464988;0,95;0,311106
m1352;m1352;3298;6348;;0,025;0,025;0,025;0,975;0,376642;0,332621;;0,95;0,351642;0,307621
m1351;m1351;12987;24466;;0,025;0,025;0,025;0,2083;0,219243;0,975;;0,1833;0,194243;0,95
m1318;m1318;1162;2056;;0,025;0,025;0,025;0,975;0,75913;0,250313;;0,95;0,73413;0,225313
m1317;m1317;1176;2060;;0,025;0,025;0,025;0,975;0,669317;0,224073;;0,95;0,644317;0,199073
m1316;m1316;396;682;;0,025;0,025;0,025;0,975;0,580851;0,258243;;0,95;0,555851;0,233243
m1315;m1315;510;844;;0,025;0,025;0,025;0,752246;0,975;0,226254;;0,727246;0,95;0,201254
m1314;m1314;1644;2996;;0,025;0,025;0,025;0,975;0,767999;0,391399;;0,95;0,742999;0,366399
m1313;m1313;1610;2952;;0,025;0,025;0,025;0,813506;0,975;0,29115;;0,788506;0,95;0,26615
m1312;m1312;222;368;;0,025;0,025;0,025;0,975;0,311245;0,839692;;0,95;0,286245;0,814692
m1311;m1311;1006;2008;;0,025;0,025;0,025;0,851879;0,20723;0,975;;0,826879;0,18223;0,95
m1310;m1310;1362;2668;;0,025;0,025;0,025;0,77452;0,29927;0,975;;0,74952;0,27427;0,95
m1309;m1309;2046;3460;;0,025;0,025;0,025;0,975;0,262523;0,652485;;0,95;0,237523;0,627485
m1308;m1308;58392;116777;;0,025;0,025;0,025;0,915335;0,251275;0,975;;0,890335;0,226275;0,95
m1307;m1307;18454;34708;;0,025;0,025;0,025;0,753955;0,336938;0,975;;0,728955;0,311938;0,95
m1306;m1306;8547;17806;;0,025;0,025;0,025;0,751962;0,310837;0,975;;0,726962;0,285837;0,95
m1305;m1305;7105;14168;;0,025;0,025;0,025;0,975;0,271097;0,166684;;0,95;0,246097;0,141684
m1304;m1304;1066;2094;;0,025;0,025;0,025;0,266506;0,373271;0,975;;0,241506;0,348271;0,95
399;FourLeg;3911;7818;;-0,360116;-0,695146;-0,71157;0,278778;0,875483;0,676371;;0,638894;1,570629;1,387941
398;FourLeg;1480;2956;;-0,999761;-0,465621;-0,165829;0,433336;0,429385;0,166005;;1,433097;0,895006;0,331834
397;FourLeg;7268;14532;;-0,230511;-0,706566;-0,755574;0,231012;0,595552;0,828304;;0,461523;1,302118;1,583878
396;FourLeg;5538;11072;;-0,814377;-0,74798;-0,206627;0,751887;0,700078;0,206599;;1,566264;1,448058;0,413226
395;FourLeg;11312;22620;;-0,767327;-0,697755;-0,51844;0,992569;0,524252;0,483554;;1,759896;1,222007;1,001994
394;FourLeg;9009;18014;;-0,724566;-0,218424;-0,693341;0,800324;0,227004;0,575064;;1,52489;0,445428;1,268405
393;FourLeg;9757;19510;;-0,219315;-0,747063;-0,740852;0,218893;0,655537;0,69255;;0,438208;1,4026;1,433402
392;FourLeg;8618;17232;;-0,834801;-0,58748;-0,313632;0,994803;0,443294;0,317705;;1,829604;1,030774;0,631337
391;FourLeg;4315;8626;;-0,267964;-0,561109;-0,87076;0,244835;0,423509;0,838027;;0,512799;0,984618;1,708787
390;FourLeg;9239;18474;;-0,246158;-0,73804;-0,49889;0,245787;0,942716;0,572236;;0,491945;1,680756;1,071126
389;FourLeg;9490;18976;;-0,282428;-0,815206;-0,679687;0,288643;0,783179;0,672609;;0,571071;1,598385;1,352296
388;FourLeg;8411;16818;;-0,866458;-0,604138;-0,326592;0,997839;0,433665;0,329785;;1,864297;1,037803;0,656377
387;FourLeg;14680;29356;;-0,90003;-0,756033;-0,347903;0,696441;0,698056;0,328176;;1,596471;1,454089;0,676079
386;FourLeg;2087;4170;;-0,753341;-0,543121;-0,581658;0,873634;0,666825;0,555778;;1,626975;1,209946;1,137436
385;FourLeg;10436;20868;;-0,777083;-0,719645;-0,255539;0,985057;0,606136;0,252773;;1,76214;1,325781;0,508312
384;FourLeg;4712;9420;;-0,229803;-0,99915;-0,420185;0,228657;0,992518;0,679216;;0,45846;1,991668;1,099401
348;Bearing;2568;5132;;-0,077731;-0,504169;0,716162;0,0773;0,50374;0,871193;;0,155031;1,007909;0,155031
347;Bearing;2623;5242;;-0,340364;-0,342209;-0,882126;0,339575;0,341917;0,940831;;0,679939;0,684126;1,822957
346;Bearing;3587;7170;;-0,267444;-0,402186;-0,266745;0,265877;0,817879;0,265049;;0,533321;1,220065;0,531794
345;Bearing;3614;7224;;-0,266991;-0,819012;-0,263469;0,26615;0,401818;0,264304;;0,533141;1,22083;0,527773
344;Bearing;3182;6360;;-0,262406;-0,824967;-0,262549;0,264029;0,399877;0,259591;;0,526435;1,224844;0,52214
343;Bearing;1663;3322;;-0,276699;-0,276398;-0,840792;0,276405;0,275771;0,997682;;0,553104;0,552169;1,838474
342;Bearing;1663;3322;;-0,285383;-0,286987;-0,941667;0,288797;0,286222;0,966859;;0,57418;0,573209;1,908526
341;Bearing;1663;3322;;-0,231885;-0,231494;-0,99838;0,231652;0,231261;0,542383;;0,463537;0,462755;1,540763
300;Armadillo;17453;34902;;-0,917825;-0,858887;-0,568889;0,860955;0,579938;0,88204;;1,77878;1,438825;1,450929
299;Armadillo;17117;34230;;-0,684075;-0,772894;-0,623182;0,785519;0,706352;0,789196;;1,469594;1,479246;1,412378
298;Armadillo;15000;29996;;-0,63471;-0,66606;-0,677813;0,686633;0,826428;0,709801;;1,321343;1,492488;1,387614
297;Armadillo;15315;30626;;-0,611833;-0,544669;-0,798315;0,759547;0,592409;0,512679;;1,37138;1,137078;1,310994
296;Armadillo;15832;31660;;-0,453337;-0,866525;-0,661382;0,422973;0,730381;0,616184;;0,87631;1,596906;1,277566
m845;m845;60;88;;0,025;0,025;0,025;0,785639;0,975;0,263024;;0,760639;0,95;0,238024
m844;m844;200;324;;0,025;0,025;0,025;0,975;0,826961;0,204296;;0,95;0,801961;0,179296
m843;m843;8085;15128;;0,103243;0,111906;0,025;0,511488;0,48559;0,975;;0,408245;0,373684;0,95
m842;m842;1367;2263;;0,025;0,025;0,025;0,975;0,284253;0,321744;;0,95;0,259253;0,296744
m841;m841;36;68;;0,025;0,025;0,025;0,658333;0,975;0,341667;;0,633333;0,95;0,316667
m840;m840;94;180;;0,025;0,025;0,025;0,975;0,852445;0,852414;;0,95;0,827445;0,827414
m839;m839;540;1064;;0,025;0,025;0,025;0,533164;0,516126;0,975;;0,508164;0,491126;0,95
m838;m838;2162;4292;;0,025;0,025;0,025;0,975;0,494388;0,462158;;0,95;0,469388;0,437158
m837;m837;15969;31054;;0,025;0,025;0,025;0,975;0,396988;0,422022;;0,95;0,371988;0,397022
m836;m836;28;44;;0,025;0,025;0,025;0,975;0,5;0,5;;0,95;0,475;0,475
m835;m835;257;390;;0,025;0,025;0,025;0,975;0,440625;0,416873;;0,95;0,415625;0,391873
m834;m834;164;280;;0,025;0,025;0,025;0,975;0,512827;0,33972;;0,95;0,487827;0,31472
m833;m833;350;550;;0,025;0,025;0,025;0,975;0,427209;0,474877;;0,95;0,402209;0,449877
m832;m832;1970;3398;;0,025;0,025;0,025;0,975;0,319782;0,427383;;0,95;0,294782;0,402383
m831;m831;448;900;;0,025;0,025;0,025;0,975;0,423234;0,389547;;0,95;0,398234;0,364547
m830;m830;238;420;;0,025;0,025;0,025;0,439982;0,256592;0,975;;0,414982;0,231592;0,95
m829;m829;540;1032;;0,025;0,025;0,025;0,975;0,321351;0,357589;;0,95;0,296351;0,332589
m828;m828;713;1378;;0,025;0,025;0,025;0,508981;0,975;0,470436;;0,483981;0,95;0,445436
m827;m827;88;132;;0,025;0,025;0,025;0,463793;0,975;0,389385;;0,438793;0,95;0,364385
m826;m826;600;1144;;0,025;0,025;0,025;0,51287;0,975;0,498178;;0,48787;0,95;0,473178
m825;m825;319;598;;0,025;0,025;0,025;0,493767;0,975;0,487193;;0,468767;0,95;0,462193
m824;m824;678;1266;;0,025;0,025;0,025;0,504141;0,975;0,522758;;0,479141;0,95;0,497758
m823;m823;440;812;;0,025;0,025;0,025;0,642458;0,975;0,547596;;0,617458;0,95;0,522596
m822;m822;967;1906;;0,025;0,025;0,025;0,497961;0,975;0,528479;;0,472961;0,95;0,503479
m821;m821;349;680;;0,025;0,025;0,025;0,444242;0,975;0,397663;;0,419242;0,95;0,372663
m820;m820;132;208;;0,025;0,025;0,025;0,557;0,975;0,5665;;0,532;0,95;0,5415
m819;m819;398;664;;0,025;0,025;0,025;0,483371;0,975;0,505608;;0,458371;0,95;0,480608
m818;m818;76;120;;0,025;0,025;0,025;0,707366;0,975;0,707366;;0,682366;0,95;0,682366
m817;m817;368;688;;0,025;0,025;0,025;0,496386;0,975;0,559485;;0,471386;0,95;0,534485
m816;m816;341;546;;0,025;0,025;0,025;0,402684;0,975;0,416284;;0,377684;0,95;0,391284
m815;m815;341;546;;0,025;0,025;0,025;0,460153;0,975;0,475823;;0,435153;0,95;0,450823
m814;m814;341;546;;0,025;0,025;0,025;0,538252;0,975;0,556733;;0,513252;0,95;0,531733
m813;m813;257;434;;0,025;0,025;0,025;0,402684;0,975;0,416284;;0,377684;0,95;0,391284
m812;m812;257;434;;0,025;0,025;0,025;0,460153;0,975;0,475823;;0,435153;0,95;0,450823
m811;m811;257;434;;0,025;0,025;0,025;0,538252;0,975;0,556733;;0,513252;0,95;0,531733
m810;m810;775;1494;;0,025;0,025;0,025;0,382957;0,975;0,399496;;0,357957;0,95;0,374496
m809;m809;120;180;;0,025;0,025;0,025;0,242542;0,975;0,225718;;0,217542;0,95;0,200718
m808;m808;842;1344;;0,025;0,025;0,025;0,550853;0,975;0,624579;;0,525853;0,95;0,599579
m807;m807;104;184;;0,025;0,025;0,025;0,405;0,975;0,403838;;0,38;0,95;0,378838
m806;m806;472;912;;0,025;0,025;0,025;0,358289;0,975;0,411545;;0,333289;0,95;0,386545
m805;m805;151;290;;0,025;0,025;0,025;0,729762;0,975;0,729762;;0,704762;0,95;0,704762
m804;m804;326;552;;0,025;0,025;0,025;0,702184;0,975;0,669041;;0,677184;0,95;0,644041
m803;m803;1318;2481;;0,025;0,025;0,025;0,570103;0,975;0,606811;;0,545103;0,95;0,581811
m802;m802;178;206;;0,025;0,025;0,025;0,685776;0,975;0,696138;;0,660776;0,95;0,671138
m801;m801;8188;16268;;0,025;0,025;0,025;0,469361;0,975;0,54502;;0,444361;0,95;0,52002
m800;m800;116;190;;0,025;0,025;0,025;0,727778;0,975;0,727778;;0,702778;0,95;0,702778
m799;m799;938;1789;;0,025;0,025;0,025;0,646329;0,975;0,688832;;0,621329;0,95;0,663832
m798;m798;369;599;;0,025;0,025;0,025;0,596759;0,975;0,647338;;0,571759;0,95;0,622338
m797;m797;867;1719;;0,025;0,025;0,025;0,63591;0,975;0,610618;;0,61091;0,95;0,585618
m796;m796;12172;24253;;0,025;0,025;0,025;0,710365;0,975;0,691944;;0,685365;0,95;0,666944
m795;m795;3018;5984;;0,025;0,025;0,025;0,394645;0,975;0,549344;;0,369645;0,95;0,524344
m794;m794;678;1232;;0,025;0,025;0,025;0,706179;0,975;0,674053;;0,681179;0,95;0,649053
m793;m793;81;98;;0,025;0,025;0,025;0,884711;0,975;0,770083;;0,8597111;0,95;0,745083
m792;m792;2413;4782;;0,025;0,025;0,025;0,639445;0,975;0,777606;;0,614445;0,95;0,752606
m791;m791;2288;4508;;0,025;0,025;0,025;0,510951;0,975;0,510897;;0,485951;0,95;0,485897
m790;m790;2912;5694;;0,025;0,025;0,025;0,660529;0,975;0,684862;;0,635529;0,95;0,659862
m789;m789;2446;4808;;0,025;0,025;0,025;0,511587;0,975;0,513989;;0,486587;0,95;0,488989
m788;m788;320;612;;0,025;0,025;0,025;0,340037;0,975;0,331296;;0,315037;0,95;0,306296
m787;m787;1373;2678;;0,025;0,025;0,025;0,572806;0,975;0,572806;;0,547806;0,95;0,547806
m786;m786;641;1246;;0,025;0,025;0,025;0,756678;0,975;0,780612;;0,731678;0,95;0,755612
m785;m785;960;1788;;0,025;0,025;0,025;0,569607;0,975;0,569607;;0,544607;0,95;0,544607
m784;m784;24;36;;0,025;0,025;0,025;0,975;0,38125;0,277356;;0,95;0,35625;0,252356
m783;m783;66;120;;0,025;0,025;0,025;0,975;0,476364;0,607607;;0,95;0,451364;0,582607
m782;m782;40;46;;0,025;0,025;0,025;0,975;0,42384;0,347871;;0,95;0,39884;0,322871
m781;m781;352;508;;0,025;0,025;0,025;0,975;0,640582;0,442837;;0,95;0,615582;0,417837
m780;m780;312;468;;0,025;0,025;0,025;0,975;0,911266;0,626571;;0,95;0,8862661;0,601571
m779;m779;660;1268;;0,025;0,025;0,025;0,975;0,369958;0,24294;;0,95;0,344958;0,21794
m778;m778;46;90;;0,025;0,025;0,025;0,545599;0,800831;0,975;;0,520599;0,775831;0,95
m300;m300;889;1654;;0,025;0,025;0,339934;0,643101;0,762701;0,936753;;0,618101;0,737701;0,596819
m299;m299;44261;87892;;0,025;0,025;0,025;0,975;0,969456;0,589454;;0,95;0,944456;0,564454
m298;m298;794;1447;;0,025;0,025;0,025;0,650042;0,975;0,459979;;0,625042;0,95;0,434979
m297;m297;786;1406;;0,025;0,025;0,025;0,674828;0,975;0,488771;;0,649828;0,95;0,463771
m296;m296;800;1458;;0,025;0,025;0,025;0,534138;0,975;0,594769;;0,509138;0,95;0,569769
m232;m232;429;854;;0,025;0,025;0,025;0,892351;0,975;0,292537;;0,867351;0,95;0,267537
m231;m231;13022;24959;;0,025;0,025;0,025;0,90524;0,975;0,348658;;0,88024;0,95;0,323658
m230;m230;14796;28711;;0,025;0,025;0,025;0,900784;0,975;0,215395;;0,875784;0,95;0,190395
m229;m229;18153;35742;;0,025;0,025;0,025;0,931192;0,975;0,211418;;0,906192;0,95;0,186418
m228;m228;15201;33532;;0,025;0,025;0,025;0,956645;0,975;0,377678;;0,931645;0,95;0,352678
m1779;m1779;2448;4704;;0,025;0,025;0,025;0,341632;0,349861;0,975;;0,316632;0,324861;0,95
m1778;m1778;5026;9528;;0,025;0,025;0,025;0,975;0,699188;0,950849;;0,95;0,674188;0,925849
m1777;m1777;325;618;;0,025;0,025;0,025;0,910416;0,736516;0,975;;0,885416;0,711516;0,95
m1776;m1776;270;538;;0,025;0,025;0,025;0,909483;0,852815;0,975;;0,884483;0,827815;0,95
m1775;m1775;396;760;;0,025;0,025;0,025;0,975;0,698854;0,950566;;0,95;0,6738541;0,925566
m1711;m1711;68;132;;0,025;0,025;0,025;0,32038;0,975;0,104125;;0,29538;0,95;0,079125
m1710;m1710;522;990;;0,025;0,025;0,025;0,544423;0,975;0,119998;;0,519423;0,95;0,094998
m1709;m1709;18;18;;0,025;0,025;0,025;0,0373238;0,975;0,528047;;0,0123238;0,95;0,503047
m1708;m1708;16;16;;0,025;0,025;0,025;0,567857;0,975;0,0521429;;0,5428571;0,95;0,0271429
m1707;m1707;456;894;;0,025;0,025;0,025;0,545253;0,975;0,281945;;0,520253;0,95;0,256945
m1706;m1706;31;29;;0,025;0,025;0,025;0,5;0,975;0,0566667;;0,475;0,95;0,0316667
m1705;m1705;48;72;;0,025;0,025;0,025;0,555623;0,975;0,0776375;;0,530623;0,95;0,0526375
m1704;m1704;3884;7638;;0,025;0,025;0,025;0,849831;0,975;0,72195;;0,824831;0,95;0,69695
m1703;m1703;156;276;;0,025;0,025;0,025;0,747;0,928059;0,975;;0,722;0,903059;0,95
m1702;m1702;88;100;;0,025;0,025;0,025;0,975;0,620522;0,517746;;0,95;0,595522;0,492746
m1701;m1701;28;46;;0,025;0,025;0,025;0,975;0,671554;0,512961;;0,95;0,6465541;0,487961
m1700;m1700;1740;3318;;0,025;0,025;0,025;0,975;0,652123;0,673455;;0,95;0,627123;0,648455
m1699;m1699;8130;15324;;0,025;0,025;0,025;0,975;0,523268;0,593021;;0,95;0,498268;0,568021
m1698;m1698;1384;2632;;0,025;0,025;0,025;0,975;0,66516;0,66709;;0,95;0,64016;0,64209
m1697;m1697;293;484;;0,025;0,025;0,025;0,61279;0,975;0,101534;;0,58779;0,95;0,076534
m1696;m1696;2474;5010;;0,025;0,025;0,025;0,529289;0,975;0,0282027;;0,504289;0,95;0,003202699
m1695;m1695;1718;3384;;0,025;0,025;0,025;0,532509;0,975;0,0375293;;0,5075091;0,95;0,0125293
m1694;m1694;560;1104;;0,025;0,025;0,025;0,975;0,650252;0,0825813;;0,95;0,625252;0,0575813
m1693;m1693;531;879;;0,025;0,025;0,025;0,975;0,598276;0,025;;0,95;0,573276;0
m1692;m1692;898;1502;;0,025;0,025;0,025;0,736179;0,975;0,0384546;;0,711179;0,95;0,0134546
m1691;m1691;2628;5232;;0,025;0,025;0,025;0,840084;0,975;0,039265;;0,815084;0,95;0,014265
m1690;m1690;258;422;;0,025;0,025;0,025;0,975;0,617207;0,145193;;0,95;0,592207;0,120193
m1689;m1689;316;624;;0,025;0,025;0,025;0,975;0,877535;0,113539;;0,95;0,852535;0,088539
m1688;m1688;3248;6424;;0,025;0,025;0,025;0,975;0,770825;0,0585426;;0,95;0,7458251;0,0335426
m1687;m1687;237;393;;0,025;0,025;0,025;0,873775;0,975;0,130129;;0,848775;0,95;0,105129
m1686;m1686;2474;4860;;0,025;0,025;0,025;0,867938;0,975;0,0501787;;0,842938;0,95;0,0251787
m1685;m1685;760;1344;;0,025;0,025;0,025;0,807462;0,975;0,306966;;0,782462;0,95;0,281966
m1684;m1684;44;76;;0,025;0,025;0,025;0,975;0,94233;0,104207;;0,95;0,91733;0,079207
m1683;m1683;3000;5896;;0,025;0,025;0,025;0,970492;0,975;0,358657;;0,945492;0,95;0,333657
m1682;m1682;4492;8804;;0,025;0,025;0,025;0,975;0,852742;0,357307;;0,95;0,827742;0,332307
m1681;m1681;6540;13032;;0,025;0,025;0,025;0,416613;0,975;0,0576314;;0,391613;0,95;0,0326314
m1680;m1680;360;708;;0,025;0,025;0,025;0,377568;0,975;0,0520176;;0,352568;0,95;0,0270176
m1679;m1679;417;786;;0,025;0,025;0,025;0,154414;0,975;0,0840225;;0,129414;0,95;0,0590225
m1678;m1678;642;1022;;0,025;0,025;0,025;0,209241;0,975;0,0454041;;0,184241;0,95;0,0204041
m1677;m1677;152;290;;0,025;0,025;0,025;0,441352;0,975;0,124611;;0,416352;0,95;0,099611
m1676;m1676;4031;8034;;0,025;0,025;0,025;0,231959;0,975;0,0577454;;0,206959;0,95;0,0327454
m1675;m1675;40;52;;0,025;0,025;0,025;0,318634;0,975;0,0449922;;0,293634;0,95;0,0199922
m1673;m1673;80;86;;0,025;0,025;0,025;0,429;0,975;0,072555;;0,404;0,95;0,047555
m1672;m1672;231;299;;0,025;0,025;0,025;0,670752;0,975;0,11303;;0,645752;0,95;0,08803
m1671;m1671;119;113;;0,025;0,025;0,025;0,338838;0,975;0,0755324;;0,313838;0,95;0,0505324
m1670;m1670;221;217;;0,025;0,025;0,025;0,335607;0,975;0,0685362;;0,310607;0,95;0,0435362
m1669;m1669;636;1229;;0,025;0,025;0,025;0,82303;0,975;0,823035;;0,79803;0,95;0,798035
m1668;m1668;2718;5266;;0,025;0,025;0,025;0,975;0,620762;0,591387;;0,95;0,595762;0,566387
m1667;m1667;508;1001;;0,025;0,025;0,025;0,975;0,90541;0,216878;;0,95;0,88041;0,191878
m1666;m1666;851;1599;;0,025;0,025;0,025;0,975;0,777166;0,484901;;0,95;0,752166;0,459901
m1665;m1665;7089;13409;;0,025;0,0454205;0,025;0,801993;0,131825;0,975;;0,776993;0,0864045;0,95
m1664;m1664;1049;1948;;0,025;0,025;0,025;0,753517;0,344403;0,975;;0,728517;0,319403;0,95
m1663;m1663;1638;1767;;0,025;0,025;0,025;0,883788;0,466607;0,975;;0,858788;0,441607;0,95
m1662;m1662;9201;17394;;0,025;0,025;0,025;0,975;0,0798889;0,928504;;0,95;0,0548889;0,903504
m1661;m1661;1344;2022;;0,025;0,025;0,025;0,840902;0,0788145;0,975;;0,815902;0,0538145;0,95
m1660;m1660;2341;4217;;0,025;0,025;0,025;0,975;0,063385;0,925;;0,95;0,038385;0,9
m1659;m1659;5804;10712;;0,025;0,025;0,025;0,975;0,345009;0,975;;0,95;0,320009;0,95
m1658;m1658;16857;16061;;0,025;0,025;0,025;0,975;0,198499;0,755089;;0,95;0,173499;0,730089
m1657;m1657;1321;2136;;0,025;0,025;0,025;0,500146;0,215775;0,975;;0,475146;0,190775;0,95
m1656;m1656;9894;17091;;0,025;0,025;0,025;0,975;0,0934959;0,842903;;0,95;0,0684959;0,817903
m1655;m1655;14752;16111;;0,0484247;0,025;0,025;0,975;0,362786;0,625857;;0,9265753;0,337786;0,600857
m1654;m1654;5538;9290;;0,025;0,025;0,025;0,975;0,210119;0,973098;;0,95;0,185119;0,948098
m1653;m1653;26070;35805;;0,025;0,025;0,025;0,493371;0,122517;0,975;;0,468371;0,097517;0,95
m1652;m1652;2274;3112;;0,025;0,025;0,025;0,856228;0,185283;0,975;;0,831228;0,160283;0,95
m1651;m1651;1380;1337;;0,025;0,025;0,025;0,975;0,301324;0,975;;0,95;0,276324;0,95
m1650;m1650;5137;5327;;0,025;0,025;0,025;0,975;0,236017;0,641048;;0,95;0,211017;0,616048
m1649;m1649;3163;3119;;0,0484247;0,025;0,025;0,975;0,362786;0,625857;;0,9265753;0,337786;0,600857
m1648;m1648;6645;7853;;0,025;0,025;0,025;0,975;0,230267;0,641048;;0,95;0,205267;0,616048
m1647;m1647;5211;9152;;0,025;0,025;0,025;0,975;0,323101;0,722926;;0,95;0,298101;0,697926
m1646;m1646;6529;10335;;0,025;0,025;0,025;0,975;0,223656;0,895154;;0,95;0,198656;0,870154
m1645;m1645;861;1734;;0,025;0,025;0,025;0,427193;0,975;0,0915678;;0,402193;0,95;0,0665678
m1644;m1644;653;1201;;0,025;0,025;0,025;0,124707;0,975;0,0635169;;0,099707;0,95;0,0385169
m347;m347;906;2070;;0,025;0,025;0,025;0,577333;0,975;0,761331;;0,552333;0,95;0,736331
m346;m346;484;919;;0,025;0,025;0,025;0,600914;0,975;0,759248;;0,575914;0,95;0,734248
m345;m345;2687;4801;;0,025;0,025;0,025;0,956833;0,975;0,901069;;0,931833;0,95;0,876069
m344;m344;1996;3564;;0,025;0,025;0,025;0,565271;0,764697;0,975;;0,540271;0,739697;0,95
m343;m343;1984;3747;;0,025;0,025;0,025;0,691565;0,975;0,831068;;0,666565;0,95;0,806068
m342;m342;1543;2688;;0,0355557;0,025;0,025;0,703645;0,975;0,828088;;0,6680893;0,95;0,803088
m341;m341;1884;3604;;0,025;0,025;0,025;0,677855;0,975;0,821646;;0,652855;0,95;0,796646
m340;m340;1426;2790;;0,025;0,025;0,025;0,899009;0,975;0,948445;;0,874009;0,95;0,923445
m339;m339;2248;4466;;0,025;0,025;0,025;0,190557;0,134926;0,975;;0,165557;0,109926;0,95
m338;m338;1547;3090;;0,025;0,025;0,025;0,489372;0,367234;0,975;;0,464372;0,342234;0,95
m337;m337;1925;3846;;0,025;0,025;0,025;0,245675;0,179601;0,975;;0,220675;0,154601;0,95
m336;m336;1557;3110;;0,025;0,025;0,025;0,572276;0,346703;0,975;;0,547276;0,321703;0,95
m335;m335;7929;15855;;0,025;0,025;0,025;0,576129;0,975;0,67506;;0,551129;0,95;0,65006
m334;m334;114;204;;0,025;0,025;0,025;0,795743;0,975;0,40055;;0,770743;0,95;0,37555
m333;m333;1023;2043;;0,025;0,025;0,025;0,908244;0,665105;0,975;;0,883244;0,640105;0,95
m332;m332;1198;2392;;0,025;0,025;0,025;0,858363;0,783293;0,975;;0,833363;0,758293;0,95
m279;m279;275;524;;0,025;0,025;0,025;0,975;0,25107;0,948752;;0,95;0,22607;0,923752
m278;m278;359;646;;0,025;0,025;0,025;0,975;0,201787;0,960987;;0,95;0,176787;0,935987
m277;m277;445;874;;0,025;0,025;0,025;0,975;0,276023;0,755672;;0,95;0,251023;0,730672
m276;m276;2309;4587;;0,025;0,025;0,025;0,142394;0,37387;0,975;;0,117394;0,34887;0,95
m275;m275;20586;41168;;0,025;0,025;0,025;0,219559;0,975;0,492804;;0,194559;0,95;0,467804
m274;m274;23984;47904;;0,025;0,025;0,025;0,975;0,349877;0,912624;;0,95;0,324877;0,887624
m273;m273;485;942;;0,025;0,025;0,025;0,21044;0,382048;0,975;;0,18544;0,357048;0,95
m272;m272;4640;9039;;0,025;0,025;0,025;0,20865;0,373605;0,975;;0,18365;0,348605;0,95
m271;m271;8382;16564;;0,025;0,025;0,025;0,975;0,440294;0,182006;;0,95;0,415294;0,157006
m270;m270;4126;8368;;0,025;0,025;0,025;0,975;0,734266;0,460088;;0,95;0,709266;0,435088
m269;m269;16996;33988;;0,025;0,025;0,025;0,245091;0,975;0,465414;;0,220091;0,95;0,440414
m268;m268;252;484;;0,025;0,025;0,025;0,20265;0,325992;0,975;;0,17765;0,300992;0,95
m267;m267;4480;7774;;0,025;0,025;0,025;0,975;0,25099;0,483743;;0,95;0,22599;0,458743
m266;m266;1092;2168;;0,025;0,025;0,025;0,31278;0,975;0,893268;;0,28778;0,95;0,868268
m265;m265;16267;32530;;0,025;0,025;0,025;0,380248;0,825978;0,975;;0,355248;0,800978;0,95
m264;m264;8798;17547;;0,025;0,025;0,025;0,335492;0,38114;0,975;;0,310492;0,35614;0,95
m263;m263;478;899;;0,025;0,025;0,025;0,313418;0,975;0,528825;;0,288418;0,95;0,503825
m262;m262;470;880;;0,025;0,025;0,025;0,274585;0,975;0,344233;;0,249585;0,95;0,319233
m261;m261;481;895;;0,025;0,025;0,025;0,274933;0,975;0,347475;;0,249933;0,95;0,322475
m260;m260;1068;2102;;0,025;0,025;0,025;0,442046;0,975;0,349292;;0,417046;0,95;0,324292
m259;m259;402;728;;0,025;0,025;0,025;0,389217;0,975;0,618324;;0,364217;0,95;0,593324
m258;m258;12410;24119;;0,025;0,025;0,025;0,683898;0,975;0,160636;;0,658898;0,95;0,135636
m257;m257;372;721;;0,025;0,025;0,025;0,409814;0,899138;0,975;;0,384814;0,874138;0,95
m256;m256;7303;14424;;0,025;0,025;0,025;0,55464;0,975;0,79986;;0,52964;0,95;0,77486
m255;m255;16870;35327;;0,025;0,025;0,025;0,945165;0,975;0,180198;;0,920165;0,95;0,155198
m254;m254;16082;31221;;0,025;0,025;0,025;0,674155;0,975;0,169338;;0,649155;0,95;0,144338
m253;m253;11806;23197;;0,025;0,025;0,025;0,7175;0,975;0,24255;;0,6925;0,95;0,21755
m252;m252;9698;19304;;0,025;0,025;0,025;0,975;0,970692;0,253422;;0,95;0,945692;0,228422
m251;m251;8077;16126;;0,025;0,025;0,025;0,742238;0,975;0,190046;;0,717238;0,95;0,165046
m250;m250;10589;20349;;0,025;0,025;0,025;0,718992;0,975;0,185819;;0,693992;0,95;0,160819
m249;m249;7970;15874;;0,025;0,025;0,025;0,731246;0,975;0,304967;;0,706246;0,95;0,279967
m248;m248;518;897;;0,025;0,025;0,025;0,917266;0,975;0,171275;;0,892266;0,95;0,146275
m247;m247;18472;51119;;0,025;0,025;0,025;0,975;0,892567;0,194155;;0,95;0,867567;0,169155
m246;m246;583;886;;0,025;0,025;0,025;0,793012;0,975;0,181295;;0,768012;0,95;0,156295
m245;m245;574;862;;0,025;0,025;0,025;0,916742;0,975;0,184659;;0,8917421;0,95;0,159659
